Date,NSW
01/09,908
02/09,956
03/09,973
04/09,1036
05/09,1023
06/09,1067
07/09,1143
08/09,1130
09/09,1163
10/09,1156
11/09,"1,164"
12/09,1206
13/09,1189
14/09,1253
15/09,1241
16/09,1231
17/09,1245
18/09,"1,219"
19/09,"1,236"
20/09,"1,207"
21/09,1268
22/09,1232
23/09,1244
24/09,"1,186"
25/09,"1,187"
26/09,"1,146"
27/09,"1,155"
28/09,"1,155"
29/09,"1,082"
30/09,1090
01/10,"1,055"
02/10,"1,005"
03/10,981
04/10,959
05/10,978
06/10,959
07/10,911
08/10,856
09/10,812
10/10,794
11/10,769
12/10,766
13/10,716
14/10,711
15/10,677
16/10,652
17/10,619
18/10,606
19/10,589
20/10,552
21/10,523
22/10,482
23/10,469
24/10,474
25/10,474
