# STN,YYYYMMDD,TG
260,20201114,12.4
260,20201115,12.7
260,20201116,10.2
260,20201117,12.0
260,20201118,12.8
260,20201119,8.2
260,20201120,6.0
260,20201121,8.7
260,20201122,8.9
260,20201123,6.1
260,20201124,7.9
260,20201125,6.7
260,20201126,8.8
260,20201127,6.3
260,20201128,4.2
260,20201129,0.9
260,20201130,2.4
260,20201201,8.1
260,20201202,5.8
260,20201203,5.5
260,20201204,5.0
260,20201205,1.3
260,20201206,1.8
260,20201207,4.2
260,20201208,1.8
260,20201209,0.8
260,20201210,0.6
260,20201211,2.6
260,20201212,6.5
260,20201213,6.9
260,20201214,9.6
260,20201215,8.7
260,20201216,7.2
260,20201217,8.9
260,20201218,7.9
260,20201219,8.3
260,20201220,8.6
260,20201221,7.9
260,20201222,10.6
260,20201223,10.9
260,20201224,5.4
260,20201225,3.2
260,20201226,4.5
260,20201227,5.0
260,20201228,3.6
260,20201229,3.7
260,20201230,4.2
260,20201231,2.1
260,20210101,3.0
260,20210102,3.6
260,20210103,3.3
260,20210104,2.8
260,20210105,2.9
260,20210106,2.4
260,20210107,2.6
260,20210108,1.1
260,20210109,-0.6
260,20210110,1.6
260,20210111,5.0
260,20210112,5.2
260,20210113,4.3
260,20210114,1.2
260,20210115,1.2
260,20210116,0.8
260,20210117,3.4
260,20210118,4.8
260,20210119,7.7
260,20210120,9.0
260,20210121,7.0
260,20210122,4.0
260,20210123,3.2
260,20210124,2.4
260,20210125,2.3
260,20210126,4.5
260,20210127,4.7
260,20210128,5.1
260,20210129,7.4
260,20210130,0.4
260,20210131,-1.5
260,20210201,1.0
260,20210202,5.0
260,20210203,8.6
260,20210204,6.6
260,20210205,6.8
260,20210206,2.6
260,20210207,-4.1
260,20210208,-5.6
260,20210209,-4.4
260,20210210,-3.7
260,20210211,-4.8
260,20210212,-5.8
260,20210213,-5.2
260,20210214,-0.6
260,20210215,2.9
260,20210216,7.3
260,20210217,9.5
260,20210218,8.1
260,20210219,7.1
260,20210220,11.7
260,20210221,10.7
260,20210222,12.2
260,20210223,13.4
260,20210224,13.7
260,20210225,11.4
260,20210226,6.5
260,20210227,4.3
260,20210228,4.0
260,20210301,5.5
260,20210302,6.3
260,20210303,4.5
260,20210304,4.2
260,20210305,1.9
260,20210306,0.7
260,20210307,1.4
260,20210308,5.4
260,20210309,5.1
260,20210310,5.7
260,20210311,9.4
260,20210312,7.1
260,20210313,6.9
