index,Date,NSW,year
225,25/10,6,2020
226,26/10,8,2020
227,27/10,8,2020
228,28/10,7,2020
229,29/10,7,2020
230,30/10,7,2020
231,31/10,6,2020
232,01/11,6,2020
233,02/11,6,2020
234,03/11,5,2020
235,04/11,5,2020
236,05/11,6,2020
237,06/11,4,2020
238,07/11,3,2020
239,08/11,3,2020
240,09/11,3,2020
241,10/11,3,2020
242,11/11,4,2020
243,12/11,4,2020
244,13/11,4,2020
245,14/11,4,2020
246,15/11,5,2020
247,16/11,4,2020
248,17/11,4,2020
249,18/11,2,2020
250,19/11,2,2020
251,20/11,2,2020
252,21/11,3,2020
253,22/11,2,2020
254,23/11,2,2020
255,24/11,3,2020
256,25/11,3,2020
257,26/11,3,2020
258,27/11,2,2020
259,28/11,2,2020
260,29/11,2,2020
261,30/11,3,2020
262,01/12,3,2020
263,02/12,3,2020
264,03/12,4,2020
265,04/12,4,2020
266,05/12,5,2020
267,06/12,5,2020
268,07/12,4,2020
269,08/12,3,2020
270,09/12,3,2020
271,10/12,3,2020
272,11/12,3,2020
273,12/12,4,2020
274,13/12,2,2020
275,14/12,3,2020
276,15/12,4,2020
277,16/12,4,2020
278,17/12,5,2020
279,18/12,3,2020
280,19/12,3,2020
281,20/12,3,2020
282,21/12,4,2020
283,22/12,3,2020
284,23/12,2,2020
285,24/12,1,2020
286,25/12,1,2020
287,26/12,1,2020
288,27/12,1,2020
289,28/12,2,2020
290,29/12,4,2020
291,30/12,2,2020
292,31/12,3,2020
293,01/01,2,2021
294,02/01,1,2021
295,03/01,1,2021
296,04/01,1,2021
297,05/01,1,2021
298,06/01,1,2021
299,07/01,1,2021
300,08/01,1,2021
301,09/01,1,2021
302,10/01,1,2021
303,11/01,1,2021
304,12/01,2,2021
305,13/01,3,2021
306,14/01,2,2021
307,15/01,3,2021
308,16/01,3,2021
309,17/01,2,2021
310,18/01,2,2021
311,19/01,2,2021
312,20/01,2,2021
313,21/01,1,2021
314,22/01,3,2021
315,23/01,3,2021
316,24/01,3,2021
317,25/01,3,2021
318,26/01,4,2021
319,27/01,3,2021
320,28/01,3,2021
321,29/01,2,2021
322,30/01,2,2021
323,31/01,2,2021
324,01/02,1,2021
325,02/02,1,2021
326,03/02,1,2021
327,04/02,2,2021
328,05/02,2,2021
329,06/02,1,2021
330,07/02,1,2021
331,08/02,1,2021
332,09/02,1,2021
333,10/02,1,2021
334,11/02,1,2021
335,12/02,1,2021
336,13/02,1,2021
337,14/02,1,2021
338,15/02,1,2021
339,16/02,1,2021
340,17/02,2,2021
341,18/02,1,2021
342,19/02,1,2021
343,20/02,1,2021
344,21/02,1,2021
345,22/02,1,2021
346,23/02,1,2021
347,24/02,2,2021
348,25/02,2,2021
349,26/02,3,2021
350,27/02,4,2021
351,28/02,4,2021
352,01/03,4,2021
353,02/03,6,2021
354,03/03,3,2021
355,04/03,3,2021
356,05/03,2,2021
357,06/03,3,2021
358,07/03,4,2021
359,08/03,4,2021
360,09/03,4,2021
361,10/03,5,2021
362,11/03,5,2021
363,12/03,6,2021
364,13/03,6,2021
365,14/03,5,2021
366,15/03,5,2021
367,16/03,5,2021
368,17/03,5,2021
369,18/03,5,2021
370,19/03,5,2021
371,20/03,5,2021
372,21/03,5,2021
373,22/03,5,2021
374,23/03,5,2021
375,24/03,5,2021
376,25/03,5,2021
377,26/03,4,2021
378,27/03,4,2021
379,28/03,4,2021
380,29/03,3,2021
381,30/03,3,2021
382,31/03,3,2021
383,01/04,3,2021
384,02/04,2,2021
385,03/04,2,2021
386,04/04,2,2021
387,05/04,2,2021
388,06/04,2,2021
389,07/04,2,2021
390,08/04,2,2021
391,09/04,2,2021
392,10/04,1,2021
393,11/04,2,2021
394,12/04,2,2021
395,13/04,3,2021
396,14/04,2,2021
397,15/04,1,2021
398,16/04,3,2021
399,17/04,4,2021
